Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m;Arch
ARC;PNO;RR;-17.959;-38.701;5.4;outer
ARC;SIR;RR;-17.968;-38.707;3.1;outer
ARC;FAR;RR;-17.965;-38.694;5.8;outer
ARC;GUA;RR;-17.960;-38.692;5.4;outer
ARC;MVE;RR;-17.964;-38.702;4.1;outer
ITA ;ITA1;TP;-16.899;-39.063;1.3;inner
ITA ;ITA1;PA;-16.899;-39.063;4.2;inner
ITA ;ITA2;TP;-16.905;-39.041;2.2;inner
ITA ;ITA2;PA;-16.905;-39.041;6.2;inner
ITA ;ITA3;PA;-16.903;-39.031;12.3;inner
ITA ;ITA4;TP;-16.896;-39.063;1.5;inner
ITA ;ITA4;PA;-16.896;-39.063;4.5;inner
ITA ;ITA5;TP;-16.901;-39.042;1.5;inner
ITA ;ITA5;PA;-16.901;-39.042;3.6;inner
ITA ;ITA6;TP;-16.892;-39.063;1.4;inner
ITA ;ITA6;PA;-16.892;-39.063;4.3;inner
ITA ;ITA7;TP;-16.898;-39.040;2.6;inner
ITA ;ITA7;PA;-16.898;-39.040;5.6;inner
ITA ;ITA-NT1;TP;-16.909;-39.060;1.7;inner
ITA ;ITA-NT1;PA;-16.909;-39.060;4.6;inner
ITA ;ITA-NT2;PA;-16.912;-39.038;6.7;inner
ITA ;ITA-NT3;PA;-16.914;-39.030;11.9;inner
PAB;PAB1;TP;-17.991;-38.650;5.9;outer
PAB;PAB1;PA;-17.991;-38.650;14.7;outer
PAB;PAB2;TP;-17.983;-38.667;7.3;outer
PAB;PAB2;PA;-17.983;-38.667;16.9;outer
PAB;PAB3;TP;-17.998;-38.671;6.9;outer
PAB;PAB3;PA;-17.998;-38.671;17;outer
PAB;PAB4;TP;-17.959;-38.655;7.7;outer
PAB;PAB4;PA;-17.959;-38.655;15.2;outer
PAB;PAB5;TP;-17.944;-38.659;5.6;outer
PAB;PAB5;PA;-17.944;-38.659;15;outer
UCR;ARE;TP;-17.666;-38.997;5.2;inner
UCR;ARE;PA;-17.666;-38.997;8.8;inner
UCR;PA2;TP;-17.880;-38.938;4.4;inner
UCR;PA2;PA;-17.880;-38.938;10.8;inner
UCR;PLE;TP;-17.783;-39.051;2.3;inner
UCR;PLE;PA;-17.783;-39.051;6.1;inner
UCR;SGO;TP;-17.913;-39.145;3.2;inner
UCR;SGO;PA;-17.913;-39.145;8.2;inner
TIM ;TIM1;TP;-17.482;-39.013;4.7;inner
TIM ;TIM1;PA;-17.482;-39.013;9.5;inner
TIM ;TIM2;TP;-17.477;-39.027;6;inner
TIM ;TIM2;PA;-17.477;-39.027;11.9;inner
TIM ;TIM3;TP;-17.460;-39.031;5.6;inner
TIM ;TIM3;PA;-17.460;-39.031;10.5;inner
