Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m
ARC;PNO;RR;-17.959;-38.701;5.4
ARC;SIR;RR;-17.968;-38.707;3.1
ARC;FAR;RR;-17.965;-38.694;5.8
ARC;GUA;RR;-17.96;-38.692;5.4
ARC;MVE;RR;-17.964;-38.702;4.1
ITA ;ITA1;TP;-16.899;-39.063;1.3
ITA ;ITA2;TP;-16.905;-39.041;2.2
ITA ;ITA3;PA;-16.903;-39.031;12.3
ITA ;ITA4;TP;-16.896;-39.063;1.5
ITA ;ITA5;TP;-16.901;-39.042;1.5
ITA ;ITA6;TP;-16.892;-39.063;1.4
ITA ;ITA7;TP;-16.898;-39.04;2.6
ITA ;ITA-NT1;TP;-16.909;-39.06;1.7
ITA ;ITA-NT2;PA;-16.912;-39.038;6.7
ITA ;ITA-NT3;PA;-16.914;-39.030;11.9
PAB;PAB1;TP;-17.991;-38.65;5.9
PAB;PAB2;TP;-17.983;-38.667;7.3
PAB;PAB3;TP;-17.998;-38.671;6.9
PAB;PAB4;TP;-17.959;-38.655;7.7
PAB;PAB5;TP;-17.944;-38.659;5.6
UCR;ARE;TP;-17.666;-38.997;5.2
UCR;PA2;TP;-17.88;-38.938;4.4
UCR;PLE;TP;-17.783;-39.051;2.3
UCR;SGO;TP;-17.913;-39.145;3.2
TIM ;TIM1;TP;-17.482;-39.013;4.7
TIM ;TIM2;TP;-17.477;-39.027;6
TIM ;TIM3;TP;-17.46;-39.031;5.6
