COL;YEAR;REEF;SITE;HAB;AR_TOTAL;HEALTH %;BLEACHING %;DEAD %;AR_TURF %;AR_CCA %;AR_CYANO %;AR_MACROALGAE %;AR_DEADTISSUE %;SUR_TURF %;SUR_CCA %;SUR_CYANO %;SUR_HALIMEDA %;SUR_DICTYOTA %;SUR_OTHMACR %;SUR_PALYTHOA %;SUR_OTHZOANT %;SUR_SPONGES %;SUR_CORAL %;SUR_SAND %;SUR_NON-BIOTIC %;SUR_OTHERLIVE %
1;2006;ARC;FAR;RR;5.098;55.179;44.821;0.000;0.000;0.000;0.000;0.000;0.000;86.384;13.654;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;2007;ARC;FAR;RR;8.224;64.487;32.077;3.436;3.436;0.000;0.000;0.000;0.000;100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;2008;ARC;FAR;RR;8.348;66.782;33.218;0.000;0.000;0.000;0.000;0.000;0.000;59.545;14.112;4.324;0.000;0.000;0.000;0.000;0.000;0.000;21.127;0.000;0.000;0.000
2;2006;ARC;FAR;RR;19.15;40.814;46.742;12.445;0.000;8.099;0.000;4.346;0.000;57.284;20.277;7.790;0.000;8.789;0.000;0.000;0.000;0.000;5.843;0.000;0.000;0.000
2;2007;ARC;FAR;RR;22.47;57.473;38.514;19.808;15.794;0.000;0.000;4.014;0.000;55.192;0.000;9.843;0.000;33.969;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2;2008;ARC;FAR;RR;19.08;42.133;10.204;47.662;7.835;0.000;8.276;0.000;31.551;45.202;0.000;21.515;0.000;0.000;16.759;0.000;0.000;0.000;16.343;0.000;0.000;0.000
3;2006;ARC;FAR;RR;8.857;31.851;47.635;20.515;0.000;0.000;0.000;0.000;20.515;47.286;16.175;5.572;0.000;0.000;0.000;0.000;0.000;0.000;30.956;0.000;0.000;0.000
3;2007;ARC;FAR;RR;7.207;24.096;29.555;46.349;24.365;0.000;5.805;0.000;16.179;13.022;7.813;0.000;0.000;0.000;0.000;0.000;0.000;0.000;42.448;36.722;0.000;0.000
3;2008;ARC;FAR;RR;10.29;0.000;1.905;98.095;0.000;0.000;0.000;98.095;0.000;17.676;0.000;17.312;0.000;51.735;0.000;0.000;0.000;0.000;12.470;0.000;0.000;0.000
4;2006;ARC;FAR;RR;2.585;53.133;40.812;6.054;6.054;0.000;0.000;0.000;0.000;64.631;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;35.387;0.000;0.000
4;2007;ARC;FAR;RR;4.003;48.501;50.287;1.212;1.212;0.000;0.000;0.000;0.000;74.673;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;25.343;0.000;0.000
4;2008;ARC;FAR;RR;6.526;58.932;33.819;7.249;7.249;0.000;0.000;0.000;0.000;57.666;10.386;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;31.955;0.000;0.000
5;2006;ARC;FAR;RR;10.31;79.088;20.912;0.000;0.000;0.000;0.000;0.000;0.000;64.173;0.000;2.381;0.000;0.000;0.000;0.000;0.000;0.000;0.000;33.474;0.000;0.000
5;2007;ARC;FAR;RR;11;85.209;14.791;0.000;0.000;0.000;0.000;0.000;0.000;46.332;0.000;0.000;0.000;16.010;0.000;0.000;0.000;0.000;0.000;37.666;0.000;0.000
5;2008;ARC;FAR;RR;11.05;71.584;14.217;14.199;0.000;0.000;14.199;0.000;0.000;35.837;0.000;34.159;0.000;0.000;0.000;0.000;0.000;0.000;0.000;29.996;0.000;0.000
6;2006;ARC;FAR;RR;17.41;48.458;40.000;11.542;11.542;0.000;0.000;0.000;0.000;100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
6;2007;ARC;FAR;RR;18.79;55.242;35.056;9.702;9.702;0.000;0.000;0.000;0.000;97.471;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.509
6;2008;ARC;FAR;RR;18.73;51.794;38.991;9.215;9.215;0.000;0.000;0.000;0.000;83.146;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;12.719;4.148
7;2006;ARC;FAR;RR;4.701;32.799;64.284;2.916;2.916;0.000;0.000;0.000;0.000;47.586;3.384;0.000;0.000;0.000;0.000;0.000;0.000;0.000;30.452;18.613;0.000;0.000
7;2007;ARC;FAR;RR;6.039;25.357;73.373;1.270;1.270;0.000;0.000;0.000;0.000;59.297;21.243;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;19.435;0.000;0.000
7;2008;ARC;FAR;RR;8.388;16.754;69.552;13.695;0.000;3.754;0.000;9.940;0.000;0.000;49.098;0.000;0.000;22.361;0.000;0.000;0.000;0.000;0.000;28.552;0.000;0.000
1;2006;ARC;GUA;RR;15.32;20.320;72.977;6.703;6.703;0.000;0.000;0.000;0.000;83.242;0.000;0.000;0.000;0.000;0.000;0.000;16.758;0.000;0.000;0.000;0.000;0.000
1;2007;ARC;GUA;RR;14.27;41.338;56.251;2.411;2.411;0.000;0.000;0.000;0.000;83.240;0.000;0.000;0.000;0.000;0.000;0.000;16.767;0.000;0.000;0.000;0.000;0.000
1;2008;ARC;GUA;RR;20.63;51.832;45.124;3.044;0.000;0.000;0.000;0.000;3.044;82.633;0.000;0.000;0.000;0.000;0.000;0.000;17.367;0.000;0.000;0.000;0.000;0.000
2;2006;ARC;GUA;RR;8.226;34.286;58.923;6.791;6.791;0.000;0.000;0.000;0.000;46.596;27.168;26.237;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2;2007;ARC;GUA;RR;11.89;29.119;29.209;41.672;0.000;5.373;0.000;0.000;36.299;0.000;86.116;13.097;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
2;2008;ARC;GUA;RR;7.694;3.143;0.000;96.857;0.000;93.761;3.096;0.000;0.000;0.000;65.752;34.239;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;2006;ARC;MVE;RR;11.47;47.868;46.574;5.558;3.562;0.000;0.000;0.000;1.996;64.007;35.891;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;2007;ARC;MVE;RR;15.49;30.994;47.728;21.278;21.278;0.000;0.000;0.000;0.000;95.886;4.123;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1;2008;ARC;MVE;RR;16.98;49.217;50.783;0.000;0.000;0.000;0.000;0.000;0.000;36.643;24.110;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;38.975;0.000;0.000
2;2006;ARC;MVE;RR;4.991;36.706;63.294;0.000;0.000;0.000;0.000;0.000;0.000;60.074;10.989;24.178;0.000;0.000;0.000;0.000;0.000;0.000;4.762;0.000;0.000;0.000
2;2007;ARC;MVE;RR;5.255;32.426;57.203;10.371;10.371;0.000;0.000;0.000;0.000;68.351;0.000;14.674;0.000;0.000;0.000;0.000;0.000;0.000;16.671;0.000;0.000;0.000
2;2008;ARC;MVE;RR;4.139;27.768;22.800;49.432;0.000;0.000;0.000;49.432;0.000;23.692;0.000;0.000;0.000;38.738;0.000;0.000;0.000;0.000;37.576;0.000;0.000;0.000
1;2006;ARC;PNO;RR;3.141;2.833;64.406;32.760;32.760;0.000;0.000;0.000;0.000;100.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
