Site_name;HAB;Arch;dli_cv_2_segment_count;sst_cv_2_segment_count;chl_cv_2_segment_count
PNO;RR;outer;121;7383;119
SIR;RR;outer;121;7383;119
FAR;RR;outer;121;7383;119
GUA;RR;outer;121;7383;119
MVE;RR;outer;121;7383;119
ITA1;TP;inner;164;7383;165
ITA1;PA;inner;164;7383;165
ITA2;TP;inner;198;7383;200
ITA2;PA;inner;198;7383;200
ITA3;PA;inner;198;7383;200
ITA4;TP;inner;164;7383;165
ITA4;PA;inner;164;7383;165
ITA5;TP;inner;164;7383;165
ITA5;PA;inner;164;7383;165
ITA6;TP;inner;164;7383;165
ITA6;PA;inner;164;7383;165
ITA7;TP;inner;198;7383;200
ITA7;PA;inner;198;7383;200
ITA-NT1;TP;inner;164;7383;165
ITA-NT1;PA;inner;164;7383;165
ITA-NT2;PA;inner;198;7383;200
ITA-NT3;PA;inner;198;7383;200
PAB1;TP;outer;136;7383;134
PAB1;PA;outer;136;7383;134
PAB2;TP;outer;121;7383;119
PAB2;PA;outer;121;7383;119
PAB3;TP;outer;121;7383;119
PAB3;PA;outer;121;7383;119
PAB4;TP;outer;136;7383;134
PAB4;PA;outer;136;7383;134
PAB5;TP;outer;164;7383;162
PAB5;PA;outer;164;7383;162
ARE;TP;inner;179;7383;180
ARE;PA;inner;179;7383;180
PA2;TP;inner;79;7383;80
PA2;PA;inner;79;7383;80
PLE;TP;inner;161;7383;164
PLE;PA;inner;161;7383;164
SGO;TP;inner;154;7383;157
SGO;PA;inner;154;7383;157
TIM1;TP;inner;185;7383;187
TIM1;PA;inner;185;7383;187
TIM2;TP;inner;185;7383;187
TIM2;PA;inner;185;7383;187
TIM3;TP;inner;185;7383;187
TIM3;PA;inner;185;7383;187
