Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m;Arch;unique_id;mean_DLI_local;dli_cv_30;dli_cv_30_segment_count;sst_mean;sst_cv_30;sst_cv_30_segment_count;prop_DHW_gt4;prop_DHW_gt8;chl_mean;chl_cv_30;chl_cv_30_segment_count;PC1_Variability;PC2_Variability;PC1_Magnitude;PC2_Magnitude
ARC;PNO;RR;-17,959;-38,701;5,4;outer;PNO_RR;27,801447;6,767431364;1225;25,72056198;1,69913137;7384;0;0;0,704662919;14,8855629;1220;-1,372001575;0,002688324;1,569581414;-1,035044394
ARC;SIR;RR;-17,968;-38,707;3,1;outer;SIR_RR;36,44262944;5,286558961;1225;25,72056198;1,69913137;7384;0;0;0,704662919;14,8855629;1220;-1,498436528;-0,06733667;1,465137874;-1,537505841
ARC;FAR;RR;-17,965;-38,694;5,8;outer;FAR_RR;26,52797287;7,036774981;1225;25,71939087;1,691763163;7384;0;0;0,704662919;14,8855629;1220;-1,307912472;-0,105319407;1,572526185;-0,953387046
ARC;GUA;RR;-17,96;-38,692;5,4;outer;GUA_RR;27,801447;6,767431364;1225;25,71939087;1,691763163;7384;0;0;0,704662919;14,8855629;1220;-1,330908678;-0,118055673;1,554524935;-1,03998823
ARC;MVE;RR;-17,964;-38,702;4,1;outer;MVE_RR;32,3895393;5,912764377;1225;25,72056198;1,69913137;7384;0;0;0,704662919;14,8855629;1220;-1,444971927;-0,037725726;1,510742008;-1,318111527
ITA;ITA1;TP;-16,899;-39,063;1,3;inner;ITA1_TP;37,74004125;5,968057359;1519;25,63323402;1,60475409;7384;0,003934337;0;2,63612318;22,76970863;1535;-0,321368666;-1,507966944;-1,934343735;-1,200202976
ITA;ITA1;PA;-16,899;-39,063;4,2;inner;ITA1_PA;19,888734;14,11124034;1519;25,63323402;1,60475409;7384;0,003934337;0;2,63612318;22,76970863;1535;0,373885667;-1,12290586;-1,688479175;-0,017387234
ITA;ITA2;TP;-16,905;-39,041;2,2;inner;ITA2_TP;34,38776886;8,181997368;1737;25,64889717;1,618715048;7384;0,004477004;0;1,904224634;36,68297577;1744;0,835448998;-1,044402864;-1,366563821;-0,931771388
ITA;ITA2;PA;-16,905;-39,041;6,2;inner;ITA2_PA;17,48666751;20,01599379;1737;25,64889717;1,618715048;7384;0,004477004;0;1,904224634;36,68297577;1744;1,845820165;-0,484816826;-1,108099725;0,311658741
ITA;ITA3;PA;-16,903;-39,031;12,3;inner;ITA3_PA;6,816167397;38,20586657;1737;25,64889717;1,618715048;7384;0,004477004;0;1,904224634;36,68297577;1744;3,398847759;0,375315159;-0,765431324;1,960182542
