Reef_name;Site_name;HAB;Latitude;Longitude;Depth_m;Arch;unique_id;mean_DLI_local;cv_DLI_local;cv_DLI_local_segment_count;sst_mean;sst_cv_all;sst_cv_all_segment_count;prop_DHW_gt4;prop_DHW_gt8;chl_mean;chl_cv_all;chl_cv_all_segment_count;PC1_Variability;PC2_Variability;PC1_Magnitude;PC2_Magnitude
PAB;PAB3;PA;-17,998;-38,671;17;outer;PAB3_PA;7,248638961;34,09653501;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,728860649;0,042741117;-2,052094226;-1,354332733
PAB;PAB2;PA;-17,983;-38,667;16,9;outer;PAB2_PA;7,332349859;34,02498835;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,725751881;0,046184211;-2,048076402;-1,334997276
PAB;PAB4;PA;-17,959;-38,655;15,2;outer;PAB4_PA;9,043281151;30,76474316;575;25,71939087;4,638699532;7384;0;0;0,650749862;55,66872406;576;0,170705003;0,148745502;-2,036218285;-0,969756486
PAB;PAB1;PA;-17,991;-38,65;14,7;outer;PAB1_PA;9,571109121;30,40683333;575;25,71939087;4,638699532;7384;0;0;0,650749862;55,66872406;576;0,155153491;0,165969468;-2,015836955;-0,871672971
PAB;PAB4;TP;-17,959;-38,655;7,7;outer;PAB4_TP;21,26191262;25,04464513;575;25,71939087;4,638699532;7384;0;0;0,650749862;55,66872406;576;-0,077838521;0,424018115;-1,719491909;0,554463806
PAB;PAB1;TP;-17,991;-38,65;5,9;outer;PAB1_TP;26,1436592;23,53107545;575;25,71939087;4,638699532;7384;0;0;0,650749862;55,66872406;576;-0,143604516;0,496856776;-1,640599652;0,934126467
PAB;PAB2;TP;-17,983;-38,667;7,3;outer;PAB2_TP;22,26005337;25,97351661;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,375908024;0,433651288;-1,63958443;0,630837587
PAB;PAB3;TP;-17,998;-38,671;6,9;outer;PAB3_TP;23,32453195;25,57234653;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,358476815;0,4529571;-1,621778742;0,716526036
ARC;FAR;RR;-17,965;-38,694;5,8;outer;FAR_RR;26,52797287;24,43620082;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,309110238;0,507632701;-1,572550299;0,953433972
ARC;PNO;RR;-17,959;-38,701;5,4;outer;PNO_RR;27,801447;24,01104993;530;25,72056198;4,672166348;7384;0;0;0,704662919;63,57395554;530;0,333093409;0,629768838;-1,569612056;1,035089235
PAB;PAB5;PA;-17,944;-38,659;15;outer;PAB5_PA;9,666829309;32,82623528;621;25,70938873;4,600058079;7384;0,001763668;0;0,625347257;62,64405823;622;0,576017108;-0,019916081;-1,56125325;-1,074775985
ARC;GUA;RR;-17,96;-38,692;5,4;outer;GUA_RR;27,801447;24,01104993;530;25,71939087;4,638699532;7384;0;0;0,704662919;63,57395554;530;0,290637041;0,52809256;-1,554555602;1,040032006
ARC;MVE;RR;-17,964;-38,702;4,1;outer;MVE_RR;32,3895393;22,58656644;530;25,72056198;4,672166348;7384;0;0;0,704662919;63,57395554;530;0,27119829;0,698320337;-1,510794071;1,318146074
ARC;SIR;RR;-17,968;-38,707;3,1;outer;SIR_RR;36,44262944;21,45095749;530;25,72056198;4,672166348;7384;0;0;0,704662919;63,57395554;530;0,221855037;0,752970107;-1,46520654;1,53753241
UCR;ARE;PA;-17,666;-38,997;8,8;inner;ARE_PA;15,5749614;47,32871495;626;25,7224369;4,871425152;7384;0;0;1,202574492;73,19571686;628;2,102197584;0,179139732;-1,315738948;-0,091648213
PAB;PAB5;TP;-17,944;-38,659;5,6;outer;PAB5_TP;27,4573019;24,13783672;621;25,70938873;4,600058079;7384;0,001763668;0;0,625347257;62,64405823;622;0,198498195;0,398202308;-1,170796984;0,804263492
UCR;ARE;TP;-17,666;-38,997;5,2;inner;ARE_TP;24,87623701;36,07504483;626;25,7224369;4,871425152;7384;0;0;1,202574492;73,19571686;628;1,613215261;0,720708628;-1,138496823;0,761315302
UCR;PA2;PA;-17,88;-38,938;10,8;inner;PA2_PA;14,67887676;25,50285167;339;25,73660469;4,944377422;7384;0,004748338;0;0,722200036;42,2820282;340;-0,370169735;1,238645328;-1,05290347;-0,916184007
UCR;PA2;TP;-17,88;-38,938;4,4;inner;PA2_TP;31,81726768;20,29166563;339;25,73660469;4,944377422;7384;0,004748338;0;0,722200036;42,2820282;340;-0,596600564;1,489427183;-0,758990489;0,498248654
TIM;TIM2;PA;-17,477;-39,027;11,9;inner;TIM2_PA;12,1733227;37,48035912;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,95114698;-0,018028355;-0,100435158;-1,024032319
TIM;TIM3;PA;-17,46;-39,031;10,5;inner;TIM3_PA;14,37573744;35,44989109;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,862921276;0,079685397;-0,038919349;-0,727992421
TIM;TIM1;PA;-17,482;-39,013;9,5;inner;TIM1_PA;16,19803415;33,93366773;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,797039975;0,152651763;0,005648369;-0,513513848
TIM;TIM2;TP;-17,477;-39,027;6;inner;TIM2_TP;24,69917399;28,19240384;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,547576776;0,428942956;0,165474703;0,255637569
TIM;TIM3;TP;-17,46;-39,031;5,6;inner;TIM3_TP;25,93095232;27,49679378;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,517351878;0,462418327;0,184103857;0,34528888
TIM;TIM1;TP;-17,482;-39,013;4,7;inner;TIM1_TP;28,94249655;25,90912023;639;25,67053413;4,67080307;7384;0,005019672;0;0,826225519;64,23426056;642;0,448366001;0,538823144;0,226283389;0,548274495
