Site_name;HAB;Arch;cv_DLI_local_segment_count;sst_cv_all_segment_count;chl_cv_all_segment_count
PNO;RR;outer;530;7384;530
SIR;RR;outer;530;7384;530
FAR;RR;outer;530;7384;530
GUA;RR;outer;530;7384;530
MVE;RR;outer;530;7384;530
ITA1;TP;inner;641;7384;643
ITA1;PA;inner;641;7384;643
ITA2;TP;inner;697;7384;699
ITA2;PA;inner;697;7384;699
ITA3;PA;inner;697;7384;699
ITA4;TP;inner;641;7384;643
ITA4;PA;inner;641;7384;643
ITA5;TP;inner;641;7384;643
ITA5;PA;inner;641;7384;643
ITA6;TP;inner;641;7384;643
ITA6;PA;inner;641;7384;643
ITA7;TP;inner;697;7384;699
ITA7;PA;inner;697;7384;699
ITA-NT1;TP;inner;641;7384;643
ITA-NT1;PA;inner;641;7384;643
ITA-NT2;PA;inner;697;7384;699
ITA-NT3;PA;inner;697;7384;699
PAB1;TP;outer;575;7384;576
PAB1;PA;outer;575;7384;576
PAB2;TP;outer;530;7384;530
PAB2;PA;outer;530;7384;530
PAB3;TP;outer;530;7384;530
PAB3;PA;outer;530;7384;530
PAB4;TP;outer;575;7384;576
PAB4;PA;outer;575;7384;576
PAB5;TP;outer;621;7384;622
PAB5;PA;outer;621;7384;622
ARE;TP;inner;626;7384;628
ARE;PA;inner;626;7384;628
PA2;TP;inner;339;7384;340
PA2;PA;inner;339;7384;340
PLE;TP;inner;565;7384;568
PLE;PA;inner;565;7384;568
SGO;TP;inner;564;7384;567
SGO;PA;inner;564;7384;567
TIM1;TP;inner;639;7384;642
TIM1;PA;inner;639;7384;642
TIM2;TP;inner;639;7384;642
TIM2;PA;inner;639;7384;642
TIM3;TP;inner;639;7384;642
TIM3;PA;inner;639;7384;642
