SITE;HAB;YEAR;REEF;PC1_INTERACAO;PC2_INTERACAO;SUR_TURF;SUR_CCA;SUR_MACROALGAE;SUR_CYANO;SUR_PALYTHOA;SUR_ABIOTIC
ARE;PA;2006;UCR;-0,081244548;-0,578387097;61,18098224;16,14451407;0;8,640461387;9,182015482;0
ARE;PA;2007;UCR;1,364617174;-0,67509173;75,45439203;5,356003645;0;0;14,93801021;0
ARE;PA;2008;UCR;-1,229645505;-0,527546137;51,3352597;22,46115012;0;18,31904491;4,232983889;0
ARE;TP;2006;UCR;-0,141024381;-0,911530441;71,60105468;8,227973326;0;20,01668753;0;0
ARE;TP;2007;UCR;0,81026071;-1,113388695;79,95267397;14,62381858;0;0,670103093;0;0
ARE;TP;2008;UCR;1,101058219;-1,186564264;87,39852494;2,770753161;0;9,825224374;0;0
FAR;RR;2006;ARC;0,988989766;0,476242033;66,7633922;7,641354508;1,255582362;2,249100362;0;12,49633809
FAR;RR;2007;ARC;1,247307309;1,444035239;63,71234586;4,150838243;7,139882659;1,406142655;0;17,02364635
FAR;RR;2008;ARC;-0,241626512;2,090183063;42,72452563;10,51373066;12,97930421;11,04418392;0;14,74602319
GUA;RR;2006;ARC;-0,26532104;-0,782324143;64,91881066;13,58384745;0;13,11833988;0;0
GUA;RR;2007;ARC;-1,905024601;-0,557383136;41,61985019;43,05823371;0;6,548399537;0;0
GUA;RR;2008;ARC;-2,021337755;-0,465371134;41,31665177;32,87608596;0;17,11934156;0;0
ITA1;PA;2006;ITA;-0,520913064;-0,99524282;64,16344561;35,83655439;0;0;0;0
ITA1;PA;2007;ITA;1,609921326;0,84538042;68,65882353;0;0;0;0;17,14352941
ITA1;PA;2008;ITA;0,547895949;-1,032690246;80,96437567;0;0;19,06441166;0;0
ITA1;TP;2006;ITA;1,614023316;-0,200915272;84,55863925;0;10,85802742;0;0;0
ITA1;TP;2007;ITA;1,381958262;-0,098103874;78,24086826;0;10,13532643;0;0;0
ITA1;TP;2008;ITA;0,022446356;-0,695341985;67,34767022;0;0;19,80428632;0;0
ITA3;PA;2006;ITA;0,09101677;-0,933333948;73,05182886;8,658469161;0;15,75509218;0;0
ITA3;PA;2007;ITA;0,191491244;0,82043072;61,22517452;1,219059406;17,55033077;12,45802757;0;0
ITA3;PA;2008;ITA;0,281410143;3,555256913;44,97081014;0;36,67757168;8,7431608;0;9,612830728
ITA4;PA;2006;ITA;1,610770256;0,236166185;78,1335828;0;9,353697749;0;4,122584881;3,895430559
ITA4;PA;2007;ITA;1,923007824;-0,31253467;85,45796315;0;0;0;1,228995701;8,409301995
ITA4;PA;2008;ITA;2,039577809;-0,287807889;87,80159432;0;0;0;1,02073085;9,407814252
