SITE_COL;YEAR;SITE;HAB;REEF;HEALTH_PC1;HEALTH_PC2;HEALTH %;BLEACHING %;DEAD %
TIM2_7;2008;TIM2;TP;TIM;-3,04424278;-0,221516015;0,676762661;81,87686197;17,44637537
PNO_1;2006;PNO;RR;ARC;-2,762776062;1,029218925;2,833492518;64,40624005;32,76026743
ARE_4;2008;ARE;TP;UCR;-2,654699531;-1,007250307;9,661538462;84,76923077;5,569230769
TIM2_7;2006;TIM2;TP;TIM;-2,479581239;-1,377969821;13,74233129;86,25766871;0
ITA1_3;2006;ITA1;TP;ITA;-2,451476352;3,205161607;3,329145729;36,55778894;60,11306533
ITA1_3;2007;ITA1;TP;ITA;-2,392823243;3,95683082;2,607933377;27,63532764;69,75673899
ITA4_3;2006;ITA4;PA;ITA;-2,36709381;-0,883505808;14,6171099;79,33354694;6,049343159
PLE_6;2006;PLE;TP;UCR;-2,355925779;-1,34047497;15,9104187;84,0895813;0
ITA1_2;2006;ITA1;TP;ITA;-2,333987406;1,415330704;9,741035857;54,13346614;36,12549801
PLE_6;2007;PLE;TP;UCR;-2,2834177;-1,318489046;17,18172409;82,81827591;0
ITA1_2;2007;ITA1;TP;ITA;-2,277731614;1,377581362;10,85804666;53,7366548;35,40529854
SIR_2;2006;SIR;RR;ARC;-2,272292923;-1,091441625;16,84353457;80,21725507;2,939210361
ITA4_4;2006;ITA4;PA;ITA;-2,252330607;0,461347091;13,50609202;63,22967812;23,26422986
FAR_3;2008;FAR;RR;ARC;-2,248335132;6,157204779;0;1,904761905;98,0952381
ITA4_3;2007;ITA4;PA;ITA;-2,245804273;-0,153910804;15,09202454;69,75460123;15,15337423
ITA1_2;2008;ITA1;TP;ITA;-2,222009655;2,878175072;8,29787234;36,80016688;54,90196078
TIM3_3;2008;TIM3;PA;TIM;-2,216580607;-1,29822268;18,35359842;81,64640158;0
FAR_7;2008;FAR;RR;ARC;-2,166126835;-0,240766595;16,75369576;69,55174058;13,69456366
PNO_2;2006;PNO;RR;ARC;-2,142512831;3,955552004;7,180693069;24,07673267;68,74257426
TIM2_8;2006;TIM2;TP;TIM;-2,134167288;-1,273233286;19,79857529;80,20142471;0
ITA4_4;2007;ITA4;PA;ITA;-2,120224263;0,780235611;15,15761234;57,91415158;26,92823608
SIR_2;2008;SIR;RR;ARC;-2,115086478;-1,137748778;19,82392027;78,4717608;1,704318937
GUA_2;2008;GUA;RR;ARC;-2,081902319;6,113462743;3,142708604;0;96,8572914
GUA_1;2006;GUA;RR;ARC;-2,035041198;-0,733077162;20,32049608;72,97650131;6,703002611
SIR_1;2006;SIR;RR;ARC;-2,025849766;0,121229537;18,4516129;63,65591398;17,89247312
SGO_8;2007;SGO;TP;UCR;-2,020448758;-0,845248371;20,85431655;73,97482014;5,170863309
ITA1_3;2008;ITA1;TP;ITA;-2,00470902;4,222096316;9,061016949;19,24293785;71,6960452
SGO_9;2007;SGO;TP;UCR;-1,959468733;-0,761382492;21,76764077;72,20242338;6,029935852
SGO_9;2008;SGO;TP;UCR;-1,944112872;-1,103103021;22,86264837;75,65901033;1,478341298
TIM2_8;2007;TIM2;TP;TIM;-1,930095636;-1,21135461;23,37662338;76,62337662;0
PAB3_4;2006;PAB3;TP;PAB;-1,890451368;-0,480014174;22,35684647;68,19087137;9,452282158
TIM1_7;2008;TIM1;TP;TIM;-1,844047083;-0,791165113;23,94580107;70,87552114;5,178677784
ITA6_3;2007;ITA6;TP;ITA;-1,8211609;0,50992285;21,26179657;56,55365257;22,18455086
SGO_7;2008;SGO;TP;UCR;-1,81590382;-0,739040282;24,33532284;69,91318502;5,751492132
ITA1_4;2006;ITA1;TP;ITA;-1,80475022;-0,140225847;23,11135982;63,31281477;13,57582541
